[LOG] System::create                           : Header version = 1.10.08. Current version = 1.10.08.
[LOG] Manager::init                            : maxchannels = 256 studioflags = 00000006 flags 00000000 extradriverdata 0000000000000000.
[LOG] SystemI::init                            : Initialize version=11008 (96768), maxchannels=256, flags=0x00020000
[LOG] SystemI::setOutputInternal               : Setting output to 'FMOD WASAPI Output'
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEX): wFormatTag=0xFFFE, nChannels=2, nSamplesPerSec=48000, nAvgBytesPerSec=384000, nBlockAlign=8, wBitsPerSample=32, cbSize=22.
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEXTENSIBLE): wValidBitsPerSample=32, dwChannelMask=0x00000003, SubFormat=00000003-0000-0010-8000-00AA00389B71.
[LOG] OutputWASAPI::init                       : Output buffer size: 4096 samples, latency: 0.00ms, period: 10.00ms, DSP buffer: 1024 * 4
[LOG] Thread::initThread                       : Init FMOD stream thread. Priority: 2, Stack Size: 65536, Semaphore: No, Sleep Time: 10, Looping: Yes.
[LOG] Thread::initThread                       : Init FMOD mixer thread. Priority: 3, Stack Size: 49152, Semaphore: No, Sleep Time: 0, Looping: Yes.
[LOG] AsyncManager::init                       : manager 0000025552EBB728 isAsync 0 updatePeriod 0.02
[LOG] AsyncManager::init                       : done
[LOG] PlaybackSystem::init                     : 
[LOG] Thread::initThread                       : Init FMOD Studio sample load thread. Priority: 0, Stack Size: 65536, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] PlaybackSystem::init                     : done
[LOG] Thread::initThread                       : Init FMOD Studio bank load thread. Priority: 0, Stack Size: 65536, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] Manager::init                            : done.
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 100)
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 100)
[LOG] SoundI::release                          :     BubblePop1 (000002554395C948)
[LOG] SoundI::release                          :  (000002580214AF38)
[LOG] SoundI::release                          :     BubblePop2 (000002582E94A578)
[LOG] SoundI::release                          :  (000002555338C818)
[LOG] SoundI::release                          :     BubblePop3 (000002582D829358)
[LOG] SoundI::release                          :  (0000025551AB10E8)
[LOG] SoundI::release                          :     FOT_Tableau01_5_stems_D (000002582D8260F8)
[LOG] SoundI::release                          :  (0000025551AB06D8)
[LOG] SoundI::release                          :     FOT_Tableau01_5_stems_E (000002582D823ED8)
[LOG] SoundI::release                          :  (0000025556040D28)
[LOG] SoundI::release                          :     scale_plate_creak_1 (000002582E949A18)
[LOG] SoundI::release                          :  (000002580214CD68)
[LOG] SoundI::release                          :     scale_plate_creak_2 (000002582E947658)
[LOG] SoundI::release                          :  (000002580214CBF8)
[LOG] SoundI::release                          :     Whale (000002582E94B418)
[LOG] SoundI::release                          :  (00000258021509C8)
[LOG] SoundI::release                          :     SwooshBatonPluieReverse - Trimmed (2) (000002554EF8F458)
[LOG] SoundI::release                          :  (00000258021510F8)
[LOG] SoundI::release                          :     SwooshBatonPluieReverse - Trimmed (3) (000002554EF8E0D8)
[LOG] SoundI::release                          :  (0000025551AB0288)
[LOG] SoundI::release                          :     SwooshBatonPluieReverse - Trimmed (4) (000002582D8224D8)
[LOG] SoundI::release                          :  (0000025551AADA48)
[LOG] SoundI::release                          :     SwooshBatonPluieReverse - Trimmed (000002582D823378)
[LOG] SoundI::release                          :  (0000025551AB1818)
[LOG] SoundI::release                          :     fail (000002582D824898)
[LOG] SoundI::release                          :  (0000025551AAFCC8)
[LOG] SoundI::release                          :     Notes_harp_10 (000002582D822CF8)
[LOG] SoundI::release                          :  (000002580214F718)
[LOG] SoundI::release                          :     Harp_strum_Beach_GM (000002582E948358)
[LOG] SoundI::release                          :  (0000025551AAECF8)
[LOG] SoundI::release                          :     trumpets_Beach_GM (000002582D824218)
[LOG] SoundI::release                          :  (0000025802C701D8)
[LOG] SoundI::release                          :     Harp_Chord_Beach_GM (000002582E94DE58)
[LOG] SoundI::release                          :  (0000025551AAC348)
[LOG] SoundI::release                          :     Notes_harp_03 (000002582D825DB8)
[LOG] SoundI::release                          :  (000002580214C638)
[LOG] SoundI::release                          :     FOT_SFX_UI_MenuOeufs (000002582E94C5F8)
[LOG] SoundI::release                          :  (0000025551AAEE68)
[LOG] SoundI::release                          :     tile_rotate_1 - Trimmed (000002582D823B98)
[LOG] SoundI::release                          :  (0000025802C70348)
[LOG] SoundI::release                          :     tile_rotate_2 - Trimmed (000002582E94D978)
[LOG] SoundI::release                          :  (0000025551AB1AF8)
[LOG] SoundI::release                          :     tile_rotate_3 - Trimmed (000002582D823518)
[LOG] SoundI::release                          :  (000002555338C3C8)
[LOG] SoundI::release                          :     tile_rotate_4 - Trimmed (000002582D8291B8)
[LOG] SoundI::release                          :  (0000025547D26018)
[LOG] SoundI::release                          :     tile_rotate_5 - Trimmed (000002582E94E198)
[LOG] SoundI::release                          :  (000002580214F158)
[LOG] SoundI::release                          :     lock_clik (000002582E94AA58)
[LOG] SoundI::release                          :  (000002555338D228)
[LOG] SoundI::release                          :     CIN_GustFly_01 (000002582D8294F8)
[LOG] SoundI::release                          :  (0000025547D27888)
[LOG] SoundI::release                          :     perc_frozen_bird (000002582D829B78)
[LOG] SoundI::release                          :  (000002580214FE48)
[LOG] SoundI::release                          :     SwooshMelo (000002582E947318)
[LOG] SoundI::release                          :  (0000025551AB1C68)
[LOG] SoundI::release                          :     Wave (000002582D825A78)
[LOG] SoundI::release                          :  (0000025555EEE7D8)
[LOG] SoundI::release                          :     FOT_Tableau01_5_stems_highA (000002582D8284B8)
[LOG] SoundI::release                          :  (0000025551AAF428)
[LOG] SoundI::release                          :     CIN_CymbCollision (000002582D8253F8)
[LOG] SoundI::release                          :  (000002580214E5D8)
[LOG] SoundI::release                          :     Notes_harp_02 (000002582E94AD98)
[LOG] SoundI::release                          :  (0000025802150298)
[LOG] SoundI::release                          :     Frog (000002554EF8E278)
[LOG] SoundI::release                          :  (000002580214EA28)
[LOG] SoundI::release                          :     Bottle Rocket-SoundBible.com-332895117 (000002554395D168)
[LOG] SoundI::release                          :  (000002580214AAE8)
[LOG] SoundI::release                          :     harp_ui_button_2 (000002582E94C118)
[LOG] SoundI::release                          :  (000002580214F888)
[LOG] SoundI::release                          :     Walrus (000002582E947178)
[LOG] SoundI::release                          :  (000002555603F628)
[LOG] SoundI::release                          :     FOT_SFX_fruits2 (000002582E94B5B8)
[LOG] SoundI::release                          :  (000002580214BAB8)
[LOG] SoundI::release                          :     FOT_Tableau01_5_stems_A (000002554395B908)
[LOG] SoundI::release                          :  (000002580214CED8)
[LOG] SoundI::release                          :     FOT_Tableau01_5_stems_highF (000002582E9484F8)
[LOG] SoundI::release                          :  (000002580214D608)
[LOG] SoundI::release                          :     FOT_SFX_Oeuf_01 - Trimmed (2) (000002582E94A098)
[LOG] SoundI::release                          :  (000002580214A978)
[LOG] SoundI::release                          :     FOT_Tableau01_5_stems_C (000002554395CFC8)
[LOG] SoundI::release                          :  (0000025802151C78)
[LOG] SoundI::release                          :     FOT_Tableau01_5_stems_B (000002554395C2C8)
[LOG] SoundI::release                          :  (0000025551AAD8D8)
[LOG] SoundI::release                          :     Stinger_congrats_G_v3_harps (000002582D823D38)
[LOG] SoundI::release                          :  (000002580214ADC8)
[LOG] SoundI::release                          :     Boat (000002582E946E38)
[LOG] SoundI::release                          :  (000002580214C078)
[LOG] SoundI::release                          :     crate_slide_multiple - Trimmed (2) (000002582E948B78)
[LOG] SoundI::release                          :  (000002580214B668)
[LOG] SoundI::release                          :     FOT_SFX_chimy_random (000002582E94B278)
[LOG] SoundI::release                          :  (000002580214FB68)
[LOG] SoundI::release                          :     Bubbles1 (000002582E948D18)
[LOG] SoundI::release                          :  (0000025556040768)
[LOG] SoundI::release                          :     Bubbles2 (000002582E949878)
[LOG] SoundI::release                          :  (0000025551AB1988)
[LOG] SoundI::release                          :     Park_section2_glock - Trimmed (000002582D8258D8)
[LOG] SoundI::release                          :  (0000025556040488)
[LOG] SoundI::release                          :     Park_section2_glock - Trimmed (2) (000002582E94BC38)
[LOG] SoundI::release                          :  (0000025551AB0C98)
[LOG] SoundI::release                          :     FOT_Tableau01_5_stems_highC (000002582D826C58)
[LOG] SoundI::release                          :  (00000255560408D8)
[LOG] SoundI::release                          :     crate_slide_multiple - Trimmed (000002582E9481B8)
[LOG] SoundI::release                          :  (000002580214F9F8)
[LOG] SoundI::release                          :     FOT_SFX_Oeuf_01 - Trimmed (000002554395B5C8)
[LOG] SoundI::release                          :  (000002580214B218)
[LOG] SoundI::release                          :     FOT_SFX_fruits (000002582E94CFB8)
[LOG] SoundI::release                          :  (0000025802C70BE8)
[LOG] SoundI::release                          :     Seal (000002582E94E338)
[LOG] SoundI::release                          :  (000002580214B4F8)
[LOG] SoundI::release                          :     Beach_section1_viola - Trimmed (2) (000002582E94C2B8)
[LOG] SoundI::release                          :  (00000258021516B8)
[LOG] SoundI::release                          :     Beach_section1_viola - Trimmed (000002554EF8E758)
[LOG] SoundI::release                          :  (0000025556041738)
[LOG] SoundI::release                          :     Beach_section1_viola - Trimmed (5) (000002582E94E9B8)
[LOG] SoundI::release                          :  (000002555603F908)
[LOG] SoundI::release                          :     Beach_section1_viola - Trimmed (4) (000002582E94BDD8)
[LOG] SoundI::release                          :  (000002580214C7A8)
[LOG] SoundI::release                          :     Beach_section1_viola - Trimmed (3) (000002582E94D2F8)
[LOG] SoundI::release                          :  (0000025802C70D58)
[LOG] SoundI::release                          :     Intro_orchestral_violins - Trimmed (2) (000002582E94E678)
[LOG] SoundI::release                          :  (000002580214BD98)
[LOG] SoundI::release                          :     Intro_orchestral_violins - Trimmed (3) (00000256DD3A13F8)
[LOG] SoundI::release                          :  (0000025802C71D28)
[LOG] SoundI::release                          :     Intro_orchestral_cellos - Trimmed (3) (000002582E94E4D8)
[LOG] SoundI::release                          :  (0000025547D247A8)
[LOG] SoundI::release                          :     Intro_orchestral_cellos - Trimmed (000002582D828CD8)
[LOG] SoundI::release                          :  (000002580214ED08)
[LOG] SoundI::release                          :     Intro_orchestral_violas - Trimmed (2) (000002582E94AF38)
[LOG] SoundI::release                          :  (000002580214CA88)
[LOG] SoundI::release                          :     Beach_section1_violons - Trimmed (2) (000002582E947CD8)
[LOG] SoundI::release                          :  (0000025802150CA8)
[LOG] SoundI::release                          :     Beach_section1_violons - Trimmed (000002554EF8FE18)
[LOG] SoundI::release                          :  (0000025556040318)
[LOG] SoundI::release                          :     Beach_section1_violons - Trimmed (4) (000002582E948018)
[LOG] SoundI::release                          :  (00000258021506E8)
[LOG] SoundI::release                          :     Beach_section1_violons - Trimmed (3) (000002554EF8F118)
[LOG] SoundI::release                          :  (0000025551AB0568)
[LOG] SoundI::release                          :     59285__transitking__needledrop01 (000002582D824F18)
[LOG] SoundI::release                          :  (000002580214B388)
[LOG] SoundI::release                          :     harp_ui_button_1 (000002554395CAE8)
[LOG] SoundI::release                          :  (000002580214DBC8)
[LOG] SoundI::release                          :     Notes_harp_04 (00000256DD3A1DB8)
[LOG] SoundI::release                          :  (000002580214A528)
[LOG] SoundI::release                          :     270843__arnaud-coutancier__hen - Trimmed - Trimmed (2) - Trimmed (000002582E94C938)
[LOG] SoundI::release                          :  (000002580214A808)
[LOG] SoundI::release                          :     270843__arnaud-coutancier__hen - Trimmed - Trimmed (3) - Trimmed (000002582E947998)
[LOG] SoundI::release                          :  (0000025547D25048)
[LOG] SoundI::release                          :     270843__arnaud-coutancier__hen - Trimmed - Trimmed (2) (000002582D829018)
[LOG] SoundI::release                          :  (0000025547D279F8)
[LOG] SoundI::release                          :     SeaGull (000002582D82A058)
[LOG] SoundI::release                          :  (0000025551AB0F78)
[LOG] SoundI::release                          :     Notes_harp_14 (000002582D824078)
[LOG] SoundI::release                          :  (000002580214BF08)
[LOG] SoundI::release                          :     Notes_harp_12 (000002582E94A238)
[LOG] SoundI::release                          :  (000002580214DD38)
[LOG] SoundI::release                          :     Notes_harp_13 (000002554395CE28)
[LOG] SoundI::release                          :  (000002555603FBE8)
[LOG] SoundI::release                          :     divers_squish_1 (000002582E94B758)
[LOG] SoundI::release                          :  (000002580214D778)
[LOG] SoundI::release                          :     divers_squish_3-001 (000002582E94A3D8)
[LOG] SoundI::release                          :  (000002580214EFE8)
[LOG] SoundI::release                          :     divers_squish_3 (000002582E94C798)
[LOG] SoundI::release                          :  (000002555603E208)
[LOG] SoundI::release                          :     divers_squish_4 (000002582E94DB18)
[LOG] SoundI::release                          :  (0000025802150858)
[LOG] SoundI::release                          :     divers_squish_5 (000002554EF8FC78)
[LOG] SoundI::release                          :  (000002580214A698)
[LOG] SoundI::release                          :     scale_arrow_wiggle_1 (000002582E9477F8)
[LOG] SoundI::release                          :  (0000025551AB13C8)
[LOG] SoundI::release                          :     scale_arrow_wiggle_4 (000002582D826F98)
[LOG] SoundI::release                          :  (000002555338C988)
[LOG] SoundI::release                          :     scale_arrow_wiggle_3 (000002582D829D18)
[LOG] SoundI::release                          :  (0000025551AADBB8)
[LOG] SoundI::release                          :     scale_arrow_wiggle_2 (000002582D8277B8)
[LOG] SoundI::release                          :  (0000025547D27718)
[LOG] SoundI::release                          :     FOT_SFX_UI_button (000002582D829838)
[LOG] SoundI::release                          :  (0000025547D27158)
[LOG] SoundI::release                          :     FOT_SFX_goose1 (000002582D828E78)
[LOG] SoundI::release                          :  (000002555603EEF8)
[LOG] SoundI::release                          :     FOT_SFX_goose2 (000002582E947E78)
[LOG] SoundI::release                          :  (000002580214C1E8)
[LOG] SoundI::release                          :     FOT_SFX_goose3 (000002582E94BF78)
[LOG] SoundI::release                          :  (0000025556041458)
[LOG] SoundI::release                          :     FOT_SFX_Chimes1 (000002582E949D58)
[LOG] SoundI::release                          :  (000002580214E188)
[LOG] SoundI::release                          :     Trumpets_Park_DM (000002582E948838)
[LOG] SoundI::release                          :  (000002580214FCD8)
[LOG] SoundI::release                          :     Harp_strum_Park_DM (000002582E94CE18)
[LOG] SoundI::release                          :  (000002580214D498)
[LOG] SoundI::release                          :     Harp_chord_Park_DM (000002582E94A718)
[LOG] SoundI::release                          :  (0000025802C718D8)
[LOG] SoundI::release                          :     divers_squish_2 (000002582E94EB58)
[LOG] SoundI::release                          :  (00000255560415C8)
[LOG] SoundI::release                          :     169549__jorickhoofd__gravel-impact-3 (1) (000002582E94B8F8)
[LOG] SoundI::release                          :  (0000025551AB1DD8)
[LOG] SoundI::release                          :     item_pickup_1 (000002582D825F58)
[LOG] SoundI::release                          :  (000002580214B948)
[LOG] SoundI::release                          :     item_pickup_3 (000002582E94D498)
[LOG] SoundI::release                          :  (0000025551AABEF8)
[LOG] SoundI::release                          :     item_pickup_2 (000002582D826DF8)
[LOG] SoundI::release                          :  (000002555603F798)
[LOG] SoundI::release                          :     mutedBells_hits (000002582E949058)
[LOG] SoundI::release                          :  (000002580214D1B8)
[LOG] SoundI::release                          :     scale_plate_creak_3 (000002582E946FD8)
[LOG] SoundI::release                          :  (00000255560405F8)
[LOG] SoundI::release                          :     FOT_SFX_Chimy2 (000002582E9491F8)
[LOG] SoundI::release                          :  (0000025802150408)
[LOG] SoundI::release                          :     introCinematic_MenuToIntro_v2 - Trimmed (000002554EF8FAD8)
[LOG] SoundI::release                          : V2_Market_Acc_long_strings (0000025548590D28)
[LOG] SoundI::release                          :     V2_Market_Acc_long_strings (000002582D8231D8)
[LOG] SoundI::release                          :     V2_Market_Acc_long_strings (0000025548596338)
[LOG] SoundI::release                          : V2_Market_Acc_long_Melo_flutes (0000025548595918)
[LOG] SoundI::release                          :     V2_Market_Acc_long_Melo_flutes (000002582D826918)
[LOG] SoundI::release                          :     V2_Market_Acc_long_Melo_flutes (0000025548591748)
[LOG] SoundI::release                          : V2_Market_Acc_long_MeloLyr_Clar (0000025548593908)
[LOG] SoundI::release                          :     V2_Market_Acc_long_MeloLyr_Clar (000002582D8265D8)
[LOG] SoundI::release                          :     V2_Market_Acc_long_MeloLyr_Clar (0000025548595408)
[LOG] SoundI::release                          : V2_Market_Acc_long_MeloFun_harp (00000255485969F8)
[LOG] SoundI::release                          :     V2_Market_Acc_long_MeloFun_harp (000002582D825598)
[LOG] SoundI::release                          :     V2_Market_Acc_long_MeloFun_harp (00000255485924C8)
[LOG] SoundI::release                          : V2_Market_Acc_long_guit (0000025548591598)
[LOG] SoundI::release                          :     V2_Market_Acc_long_guit (000002582D826298)
[LOG] SoundI::release                          :     V2_Market_Acc_long_guit (00000255485929D8)
[LOG] Thread::callback                         : FMOD Studio update thread finished.
[LOG] Thread::callback                         : FMOD Studio bank load thread finished.
[LOG] Thread::callback                         : FMOD Studio sample load thread finished.
[LOG] LiveUpdate::release                      : 
[LOG] LiveUpdate::reset                        : Reset connection (reason Disconnected)
[LOG] Thread::callback                         : FMOD stream thread finished.
[LOG] Thread::callback                         : FMOD mixer thread finished.
[LOG] SystemI::close                           : Closed.
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 100)
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 100)
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 100)
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 100)
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 100)
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 100)
[LOG] PlaybackSystem::acquireMasterBus         : Setting master channel group format to 3
[LOG] Thread::callback                         : FMOD mixer thread finished.
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEX): wFormatTag=0xFFFE, nChannels=2, nSamplesPerSec=96000, nAvgBytesPerSec=768000, nBlockAlign=8, wBitsPerSample=32, cbSize=22.
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEXTENSIBLE): wValidBitsPerSample=32, dwChannelMask=0x00000003, SubFormat=00000003-0000-0010-8000-00AA00389B71.
[LOG] OutputWASAPI::init                       : Output buffer size: 8192 samples, latency: 0.00ms, period: 10.00ms, DSP buffer: 1024 * 4
[WRN] SystemI::startDriver                     : Output requires a sample rate of 96000Hz, resampling will occur.
[LOG] Thread::initThread                       : Init FMOD mixer thread. Priority: 3, Stack Size: 49152, Semaphore: No, Sleep Time: 0, Looping: Yes.
[LOG] Thread::callback                         : FMOD Studio bank load thread finished.
[LOG] Thread::callback                         : FMOD Studio sample load thread finished.
[LOG] LiveUpdate::release                      : 
[LOG] LiveUpdate::reset                        : Reset connection (reason Disconnected)
[LOG] Thread::callback                         : FMOD stream thread finished.
[LOG] Thread::callback                         : FMOD mixer thread finished.
[LOG] Thread::callback                         : FMOD nonblocking thread (0) finished.
[LOG] Thread::callback                         : FMOD file thread finished.
[LOG] SystemI::close                           : Closed.
